KCAL	SODI	SUGR	FF	TFAT	PFAT	CHL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	NIAC	FDFE	ZINC	B12A	VC	VD	CALC	POTA	CAFF	THEO	ALCO	MOIS	S140	S100	S120	M201	M221	P226	P225
2869.5	3917	132.47	263.5	102.375	19.03	416.85	5.4	0	770.5	1164	10.5	4482.5	537.5	29271	1701	25.275	38.6595	1119.5	23.16	2.775	86.55	5.35	1248.5	3608.5	216	0	9.35	5526.255	3.9225	0.9465	1.052	0.229	0.0025	0.0115	0.035
1358.5	3447	34.02	194.5	62.46	13.294	211.3	5.785	0	150.5	228	9.5	932	4.5	1732	896.5	9.87	21.497	366.5	8.495	0	28.65	1.1	873	1559.5	2	60	0	3049.23	1.6905	0.321	0.372	0.215	0.0155	0.0145	0.041
2530.5	3758.5	69.655	231.5	68.725	15.765	584.55	9.7	0	376.5	530	520.5	1588	9.5	13817	1206.5	17.68	48.0055	744	13.7	1.09	19.45	3.85	683.5	2802.5	126.5	0	60.8	3773.73	0.766	0.159	0.178	0.2645	0.0205	0.035	0.0185
1592.5	2211	84.69	150.5	71.83	21.9045	337.75	6.93	0	436	508	15	780	168.5	0	1294.5	12.43	7.7475	332.5	5.345	0	68.9	2.35	697.5	1831	5.5	46	0	1701.45	1.594	0.504	1.5625	0.1595	0.003	0.033	0.0065
1173	1756.5	94.69	148	34.76	6.704	152.3	4.63	0	56.5	278	857	2192.5	93.5	792	557	6.25	11.836	218.5	6.36	0	148.2	0.4	520.5	2132.5	185.5	24.5	0	3420.1	0.7035	0.1785	0.1895	0.1445	0.006	5e-04	0.0075
1346	2281	80.425	167.5	53.95	12.8005	319	6.405	0	413	732.5	955.5	3181	376	4918.5	1473.5	14.855	17.3205	333.5	8.245	0.92	144.45	4.15	1187	2087.5	50	2	0	5671.85	1.8325	0.3095	0.2595	0.1335	0.018	0.2575	0.047
2059	3041	137.13	200	86.865	15.5995	383.75	7.915	0	588	642	58	541.5	136	1934	1842	12.045	23.732	424	11.42	0.985	98.6	7.3	1244.5	2531	2	41	0	1789.795	3.6545	0.9965	1.1705	0.307	0.051	0.0305	0.0175
1597.5	2584.5	51.02	94	61.53	13.2665	342.95	5.075	0	392.5	535	137	1483	307.5	174.5	518	8.375	17.874	257	9.07	0	36.1	4.3	740.5	2054	120.5	0	0	2853.23	2.032	0.5865	0.813	0.2195	0.004	0.124	0.019
1515.5	3353	86.92	237	59.495	14.1425	330.7	6.46	0	599	917.5	29.5	3793	12.5	11256.5	7835	13.66	10.9695	444.5	6.155	0.04	28.9	7.35	1122.5	2285.5	177	9.5	0	2378.045	2.8805	0.8065	0.9025	0.107	0.0265	0.0495	0.0185
1659	2667	131.265	121.5	60.625	12.226	121.45	3.825	0	291	317	1	315	1.5	3296.5	252.5	11.645	17.5205	320.5	4.76	1.045	46.5	0.5	614.5	1292.5	64	138.5	0	1777.045	2.22	0.557	1.2955	0.1045	0.0075	0.0045	0.0085
1939.5	2824	119.325	118.5	90.585	19.1565	187.45	5.32	0	216.5	256.5	21	443.5	57.5	607.5	162.5	6.76	17.0955	192	9.26	0	20.6	1.15	540	1610.5	69.5	20	0	1431.32	2.671	0.5465	0.6145	0.3825	0.0115	0.0045	0.021
1298.5	2094	49.885	63	62.315	19.2425	226.4	5.82	0	336.5	478	562	1410.5	21.5	106	514	5.815	9.5675	276	5.095	0	17.4	5.4	817	1315.5	0.5	5.5	0	967.075	0.847	0.2	0.2235	0.2425	0.0025	0.0245	0.0115
3028	6571.5	55.335	350.5	83.245	17.431	459.6	8.185	0	211	448.5	49	2800.5	33	0	2463.5	25.21	40.3705	1214	17.505	0	160.85	4.85	948.5	3939	477	0	0	5837.02	2.0265	0.506	0.567	0.3155	0.009	0.015	0.02
1967.5	3787.5	29.56	233.5	63.865	11.595	426.8	7.025	0	138.5	226.5	81.5	998.5	2.5	9288.5	2142	12.13	45.3035	307.5	9.67	0	85.85	0.25	374	3130.5	234.5	27.5	67.5	2337.68	0.787	0.2235	0.2005	0.198	0.066	0.0095	0.0165
5466.5	11893.5	230.04	333	263.09	51.667	1115.65	22.205	0	1065	2039.5	3410.5	9668.5	623.5	257.5	3864.5	28.01	59.799	644.5	22.04	0	94.5	10.9	2271	5401	35.5	24	11.15	5342.195	6.066	1.4965	1.689	1.3055	0.0335	0.111	0.078
914.5	2052	35.43	89.5	35.965	5.877	62.35	2.865	0.05	147	165	0.5	215.5	0	4522	78	7.435	10.632	328	3.475	0	33.05	0	363	686	0.5	24	0	457.56	1.2745	0.2635	0.3295	0.147	0.0305	0.0025	0.013
2866	2631.5	212.775	235	118.815	43.1205	603.85	21.54	0	237	3767.5	3902.5	40406.5	21.5	1	4282.5	11.935	39.6055	315	9.345	0	132.9	42.55	986.5	4989	95	0	0	3039.38	1.1455	0.1105	0.135	1.8965	0.175	1.2205	0.171
