PHOS	CARB	FIBE	TFAT	SFAT	CHL	ATOC	ATOA	VARA	ACAR	BCAR	CRYP	LYCO	LZ	IRON	VB2	NIAC	FDFE	FF	B12A	VC	VD	CALC	MAGN	SODI	POTA	SELE	CAFF	THEO	ALCO	MOIS	S140	S120	M161	M201	M221	P183	P184	P226
1525.5	240.915	16.6	28.055	10.81	700.5	4.775	0	10021.5	146	1174.5	148	17.5	3449	17.095	6.1895	31.928	846	546.5	1.04	178.4	6.15	817.5	248.5	2073.5	3184.5	103.5	141	2.5	0	2468.775	0.7975	0.2395	0.301	0.042	0.004	0.6035	5e-04	0.001
1746.5	116.565	12.5	93.02	30.939	676.35	9.08	0	512.5	94	3129.5	44.5	10297.5	4515	14.68	2.8535	30.9345	416	337	0.06	22.15	5.5	880	333	4856.5	3918.5	177.35	130	15.5	0	3818.605	1.7545	0.2915	1.856	0.454	0.0265	1.486	0	0.058
1463	194.24	16.65	48.525	11.77	517.4	6.58	0	818.5	653	2959.5	219.5	1983	1974.5	23.625	1.958	35.353	778	242	2.02	107.65	20.35	525.5	303.5	2157.5	3030	143.9	37.5	35	16.95	3014.445	0.9535	0.1635	0.8465	0.81	0.073	1.3175	0.1055	0.6465
980.5	238.085	12.25	77.005	22.2795	221.55	8.955	0	146.5	42.5	179.5	1	1819	170	10.76	1.3295	22.713	362	149.5	0	21.1	1.85	723.5	240	2478.5	2137.5	94.1	11.5	121.5	0	1847.045	1.2	0.451	0.7115	0.3475	0.037	1.896	0.0015	0.0115
2339.5	250.18	18.25	97.275	28.6605	570.1	10.255	2.475	674	24.5	354.5	30	144.5	654	18.85	3.5815	35.913	743.5	189.5	1.05	42.5	8.85	1494	446	3840	3172	173.45	79.5	16.5	0	2394.885	2.108	0.472	1.667	0.4775	0.0795	2.2475	0.002	0.0315
1124	238.9	13.8	93.995	28.241	348.7	8.58	0	353.5	440.5	1147	60.5	4	554	10.92	1.703	25.122	446.5	181.5	0.78	31.3	7.1	517	240	3562	2161	129.65	32.5	0	0	1424.015	0.9135	0.179	1.417	0.6955	0.0305	1.542	0.016	0.103
1390.5	130.87	11.9	118.675	42.7045	421.45	9.955	0	627	73	4778.5	88	1219	6054.5	11.31	2.1015	33.395	454	315.5	0	95.9	2.05	600.5	255	6271.5	2924	126.4	189	0	59	2661.795	2.7805	1.9615	2.193	0.6315	0.043	1.6025	0.0015	0.0215
1858.5	325.88	20.5	135.535	50.1975	630.85	9.94	0	860	64	670.5	51.5	1067.5	811	14.95	3.583	36.3495	514.5	288.5	0	71.15	6.4	1340.5	449.5	4343.5	4282.5	159.85	340	25.5	25.75	3472.29	4.938	1.301	1.7625	0.6925	0.0485	1.1	0.0845	0.0605
1556.5	254.875	35.8	136.195	24.5135	331.45	20.225	1.715	672	123	3129	82	1680	3457.5	23.78	1.8645	45.8625	957	455.5	2.875	123.4	2.25	756.5	534.5	3149.5	3839	112.2	202.5	63.5	26.85	2374.855	0.1735	0.0395	1.666	0.703	0.06	1.8915	5e-04	0.0285
619	105.28	7.6	34.215	11.2125	115.4	2.715	0	169.5	19	1414	0	554.5	1409	5.405	0.815	18.577	193.5	113.5	0.015	20.8	0.65	536.5	152	1922.5	1210.5	71.4	92	83	0	1705.625	0.5815	0.1505	0.3195	0.0635	0.015	1.121	0	0.035
